Parámetros del entrenamiento:

Numero de puntos de muestreo: 2048
Numero de clases: 10
Batch size: 24
Numero de epochs: 30



Resultados del entrenamiento:

epoch	loss	acc	val_loss	val_acc
0	3.53328013420105	0.2686043679714203	3.4471583366394043	0.11343612521886826
1	2.9730570316314697	0.3673264980316162	1.0139221379766026e+18	0.399779736995697
2	2.759321928024292	0.4622901380062103	3.7149557192731855e+21	0.4273127615451813
3	2.600405216217041	0.5464795827865601	1.2463659895877156e+21	0.5033039450645447
4	2.3169970512390137	0.6213981509208679	222911904.0	0.5969163179397583
5	2.1609785556793213	0.6677524447441101	3215907765616640.0	0.691629946231842
6	2.0633771419525146	0.7028313875198364	1332077798621184.0	0.700440526008606
7	2.006070852279663	0.7113505601882935	28231111540736.0	0.6332598924636841
8	1.9717912673950195	0.7221247553825378	5.217703342437744	0.600220263004303
9	1.820361614227295	0.7582059502601624	1.9139658466197504e+16	0.7643171548843384
10	1.823185920715332	0.7662240266799927	12898693808128.0	0.784140944480896
11	1.7743752002716064	0.7739914655685425	638142751178752.0	0.8006607890129089
12	1.7465535402297974	0.7857679724693298	1.0040825010454528e+16	0.7797356843948364
13	1.7120126485824585	0.7962916493415833	2.54486244036182e+17	0.8028634190559387
14	1.7188855409622192	0.8005512356758118	9.58762947975598e+22	0.615638792514801
15	1.6291495561599731	0.828363835811615	2.558320999145508	0.40528634190559387
16	1.6147931814193726	0.8233525156974792	1.040475343787393e+18	0.7698237895965576
17	1.5620795488357544	0.8383863568305969	88626088.0	0.8259912133216858
18	1.598000407218933	0.8361312747001648	4593846017064960.0	0.8050661087036133
19	1.6048462390899658	0.8256075978279114	323806527488.0	0.8447136282920837
20	1.563557505607605	0.837133526802063	276889698304.0	0.8215858936309814
21	1.552478313446045	0.8491606116294861	1280559934341120.0	0.816079318523407
22	1.5279452800750732	0.85041344165802	1.7974845170974731	0.791850209236145
23	1.5118308067321777	0.8609371185302734	109561643008.0	0.8458150029182434
24	1.5153735876083374	0.8574292063713074	5579427807232.0	0.850220263004303
25	1.5395238399505615	0.8511651158332825	1322478206976.0	0.8359031081199646
26	1.4802557229995728	0.8702079653739929	667.6065063476562	0.8127753138542175
27	1.4529603719711304	0.8784765601158142	226703523708928.0	0.8314977884292603
28	1.4278223514556885	0.8877474069595337	3092457.25	0.8623347878456116
29	1.4430514574050903	0.8759709596633911	515775.53125	0.8259912133216858


Precisión de Test: 82.59912133216858 %

Classification Report

              precision    recall  f1-score   support

        cama       0.89      0.72      0.80       100
     mesilla       0.95      0.45      0.61        86
  escritorio       0.60      0.83      0.70        86
       silla       0.93      0.97      0.95       100
     tocador       0.70      0.88      0.78        86
        mesa       0.95      0.72      0.82       100
     retrete       0.94      0.94      0.94       100
        sofa       0.84      0.94      0.89       100
     monitor       0.81      0.96      0.88       100
      banera       0.80      0.78      0.79        50

    accuracy                           0.83       908
   macro avg       0.84      0.82      0.81       908
weighted avg       0.85      0.83      0.82       908


